lambda	koszt	mad	pracujace
0.00	802562.8374	2431.8287	519
100.00	802562.8374	2431.8287	519
200.00	802562.8374	2431.8287	519
300.00	802562.8374	2431.8287	519
400.00	802737.6665	2006.8442	519
500.00	802949.9644	1605.8999	519
600.00	803052.9903	1338.4217	519
700.00	803147.5990	1147.3537	519
800.00	803222.6672	1004.0283	519
900.00	803270.2947	892.5225	519
1000.00	803314.5050	803.3145	519
1100.00	803362.8606	730.3299	519
1200.00	803378.9868	669.4825	519
1300.00	803401.6637	618.0013	519
1400.00	803424.5969	573.8747	519
1500.00	803449.7634	535.6332	519
1600.00	803472.3549	502.1702	519
1700.00	803492.7519	472.6428	519
1800.00	803510.9113	446.3950	519
1900.00	803528.3332	422.9096	519
2000.00	803546.0604	401.7730	519
2100.00	803572.3755	382.6535	519
2200.00	803609.0050	365.2768	519
2300.00	812621.8691	353.3139	518
2400.00	812655.2018	338.6063	518
2500.00	815666.7818	326.2667	517
2600.00	815697.6100	313.7298	517
2700.00	818703.6936	303.2236	516
2800.00	818726.6736	292.4024	516
2900.00	821734.3628	283.3567	515
3000.00	821753.2614	273.9178	515
3100.00	821777.1355	265.0894	515
3200.00	823793.9280	257.4356	513
3300.00	823800.4310	249.6365	513
3400.00	823806.5599	242.2960	513
3500.00	823813.4709	235.3753	513
3600.00	823824.9277	228.8403	513
3700.00	823837.5993	222.6588	513
3800.00	823854.5423	216.8038	513
3900.00	830852.3743	213.0391	512
4000.00	830858.7696	207.7147	512
4100.00	830868.1266	202.6508	512
4200.00	830878.0624	197.8281	512
4300.00	830889.8478	193.2302	512
4400.00	832433.1512	189.1894	510
4500.00	833896.9162	185.3104	511
4600.00	833902.1520	181.2831	511
4700.00	833909.3947	177.4275	511
4800.00	833916.9360	173.7327	511
4900.00	837829.8121	170.9857	509
5000.00	837832.6670	167.5665	509
5100.00	837835.4098	164.2815	509
5200.00	837838.0546	161.1227	509
5300.00	837840.9612	158.0832	509
5400.00	837845.0588	155.1565	509
5500.00	837850.3988	152.3364	509
5600.00	837855.8939	149.6171	509
5700.00	837861.5252	146.9933	509
5800.00	837870.1457	144.4604	509
5900.00	843000.0550	142.8814	508
6000.00	843001.9114	140.5003	508
6100.00	843003.7327	138.1973	508
6200.00	843005.5226	135.9686	508
6300.00	843007.8926	133.8108	508
6400.00	843011.3027	131.7205	508
6500.00	843014.7268	129.6946	508
6600.00	843018.0471	127.7300	508
6700.00	843023.1937	125.8244	508
6800.00	844497.6038	124.1908	509
6900.00	844501.4933	122.3915	509
7000.00	844506.9013	120.6438	509
7100.00	846042.3099	119.1609	507
7200.00	846043.2310	117.5060	507
7300.00	846044.2130	115.8965	507
7400.00	846045.1993	114.3304	507
7500.00	846046.1594	112.8062	507
7600.00	846047.1322	111.3220	507
7700.00	846048.1290	109.8764	507
7800.00	846049.1172	108.4678	507
7900.00	846050.0880	107.0949	507
8000.00	846051.1321	105.7564	507
8100.00	846052.1646	104.4509	507
8200.00	846053.1719	103.1772	507
8300.00	846054.1797	101.9342	507
8400.00	846055.4957	100.7209	507
8500.00	846057.2166	99.5361	507
8600.00	846059.1724	98.3790	507
8700.00	846061.0832	97.2484	507
8800.00	846062.9506	96.1435	507
8900.00	846064.8783	95.0635	507
9000.00	846558.8726	94.0621	507
9100.00	846559.5866	93.0285	507
9200.00	846560.2850	92.0174	507
9300.00	846560.9696	91.0281	507
9400.00	846561.6410	90.0597	507
9500.00	846562.2982	89.1118	507
9600.00	846562.9419	88.1836	507
9700.00	846563.5795	87.2746	507
9800.00	846564.2041	86.3841	507
9900.00	846564.8904	85.5116	507
10000.00	846565.6043	84.6566	507
10100.00	846566.3041	83.8184	507
10200.00	846566.9902	82.9968	507
10300.00	846567.6629	82.1910	507
10400.00	846568.3227	81.4008	507
10500.00	846568.9700	80.6256	507
10600.00	846569.6647	79.8651	507
10700.00	846570.4042	79.1187	507
10800.00	846571.2696	78.3862	507
10900.00	846572.3907	77.6672	507
11000.00	846573.6148	76.9612	507
11100.00	846575.0000	76.2680	507
11200.00	846576.3605	75.5872	507
11300.00	846577.7190	74.9184	507
11400.00	846579.1096	74.2613	507
11500.00	846580.5052	73.6157	507
11600.00	846582.0184	72.9812	507
11700.00	846584.3120	72.3576	507
11800.00	846591.3298	71.7450	507
11900.00	849100.0895	71.3529	506
12000.00	849100.5538	70.7584	506
12100.00	849101.0162	70.1736	506
12200.00	849101.4711	69.5985	506
12300.00	849101.9186	69.0327	506
12400.00	849102.3588	68.4760	506
12500.00	849102.8115	67.9282	506
12600.00	849103.3839	67.3892	506
12700.00	849104.0010	66.8586	506
12800.00	849104.8467	66.3363	506
12900.00	849105.7158	65.8221	506
13000.00	849106.5714	65.3159	506
13100.00	849107.4140	64.8174	506
13200.00	849108.2438	64.3264	506
13300.00	849109.0611	63.8428	506
13400.00	849109.9523	63.3664	506
13500.00	849111.6513	62.8972	506
13600.00	851200.0000	0.0000	504
13700.00	851200.0000	0.0000	504
13800.00	851200.0000	0.0000	504
13900.00	851200.0000	0.0000	504
14000.00	851200.0000	0.0000	504
14100.00	851200.0000	0.0000	504
14200.00	851200.0000	0.0000	504
14300.00	851200.0000	0.0000	504
14400.00	851200.0000	0.0000	504
14500.00	851200.0000	0.0000	504
14600.00	851200.0000	0.0000	504
14700.00	851200.0000	0.0000	504
14800.00	851200.0000	0.0000	504
14900.00	851200.0000	0.0000	504
