lambda	koszt	ryzyko
0.00	802562.8374	2431.8287
100.00	802562.8374	2431.8287
200.00	802562.8374	2431.8287
300.00	802562.8374	2431.8287
400.00	802737.6665	2006.8442
500.00	802949.9644	1605.8999
600.00	803052.9903	1338.4217
700.00	803147.5990	1147.3537
800.00	803222.6672	1004.0283
900.00	803270.2947	892.5225
1000.00	803314.5050	803.3145
1100.00	803362.8606	730.3299
1200.00	803378.9868	669.4825
1300.00	803401.6637	618.0013
1400.00	803424.5969	573.8747
1500.00	803449.7634	535.6332
1600.00	803472.3549	502.1702
1700.00	803492.7519	472.6428
1800.00	803510.9113	446.3950
1900.00	803528.3332	422.9096
2000.00	803546.0604	401.7730
2100.00	803572.3755	382.6535
2200.00	803609.0050	365.2768
2300.00	812621.8691	353.3139
2400.00	812655.2018	338.6063
2500.00	815666.7818	326.2667
2600.00	815697.6100	313.7298
2700.00	818703.6936	303.2236
2800.00	818726.6736	292.4024
2900.00	821734.3628	283.3567
3000.00	821753.2614	273.9178
3100.00	821777.1355	265.0894
3200.00	823793.9280	257.4356
3300.00	823800.4310	249.6365
3400.00	823806.5599	242.2960
3500.00	823813.4709	235.3753
3600.00	823824.9277	228.8403
3700.00	823837.5993	222.6588
3800.00	823854.5423	216.8038
3900.00	830852.3743	213.0391
4000.00	830858.7696	207.7147
4100.00	830868.1266	202.6508
4200.00	830878.0624	197.8281
4300.00	830889.8478	193.2302
4400.00	832433.1512	189.1894
4500.00	833896.9162	185.3104
4600.00	833902.1520	181.2831
4700.00	833909.3947	177.4275
4800.00	833916.9360	173.7327
4900.00	837829.8121	170.9857
5000.00	837832.6670	167.5665
5100.00	837835.4098	164.2815
5200.00	837838.0546	161.1227
5300.00	837840.9612	158.0832
5400.00	837845.0588	155.1565
5500.00	837850.3988	152.3364
5600.00	837855.8939	149.6171
5700.00	837861.5252	146.9933
5800.00	837870.1457	144.4604
5900.00	843000.0550	142.8814
6000.00	843001.9114	140.5003
6100.00	843003.7327	138.1973
6200.00	843005.5226	135.9686
6300.00	843007.8926	133.8108
6400.00	843011.3027	131.7205
6500.00	843014.7268	129.6946
6600.00	843018.0471	127.7300
6700.00	843023.1937	125.8244
6800.00	844497.6038	124.1908
6900.00	844501.4933	122.3915
7000.00	844506.9013	120.6438
7100.00	846042.3099	119.1609
7200.00	846043.2310	117.5060
7300.00	846044.2130	115.8965
7400.00	846045.1993	114.3304
7500.00	846046.1594	112.8062
7600.00	846047.1322	111.3220
7700.00	846048.1290	109.8764
7800.00	846049.1172	108.4678
7900.00	846050.0880	107.0949
8000.00	846051.1321	105.7564
8100.00	846052.1646	104.4509
8200.00	846053.1719	103.1772
8300.00	846054.1797	101.9342
8400.00	846055.4957	100.7209
8500.00	846057.2166	99.5361
8600.00	846059.1724	98.3790
8700.00	846061.0832	97.2484
8800.00	846062.9506	96.1435
8900.00	846064.8783	95.0635
9000.00	846558.8726	94.0621
9100.00	846559.5866	93.0285
9200.00	846560.2850	92.0174
9300.00	846560.9696	91.0281
9400.00	846561.6410	90.0597
9500.00	846562.2982	89.1118
9600.00	846562.9419	88.1836
9700.00	846563.5795	87.2746
9800.00	846564.2041	86.3841
9900.00	846564.8904	85.5116
10000.00	846565.6043	84.6566
10100.00	846566.3041	83.8184
10200.00	846566.9902	82.9968
10300.00	846567.6629	82.1910
10400.00	846568.3227	81.4008
10500.00	846568.9700	80.6256
10600.00	846569.6647	79.8651
10700.00	846570.4042	79.1187
10800.00	846571.2696	78.3862
10900.00	846572.3907	77.6672
11000.00	846573.6148	76.9612
11100.00	846575.0000	76.2680
11200.00	846576.3605	75.5872
11300.00	846577.7190	74.9184
11400.00	846579.1096	74.2613
11500.00	846580.5052	73.6157
11600.00	846582.0184	72.9812
11700.00	846584.3120	72.3576
11800.00	846591.3298	71.7450
11900.00	849100.0895	71.3529
12000.00	849100.5538	70.7584
12100.00	849101.0162	70.1736
12200.00	849101.4711	69.5985
12300.00	849101.9186	69.0327
12400.00	849102.3588	68.4760
12500.00	849102.8115	67.9282
12600.00	849103.3839	67.3892
12700.00	849104.0010	66.8586
12800.00	849104.8467	66.3363
12900.00	849105.7158	65.8221
13000.00	849106.5714	65.3159
13100.00	849107.4140	64.8174
13200.00	849108.2438	64.3264
13300.00	849109.0611	63.8428
13400.00	849109.9523	63.3664
13500.00	849111.6513	62.8972
13600.00	851200.0000	0.0000
13700.00	851200.0000	0.0000
13800.00	851200.0000	0.0000
13900.00	851200.0000	0.0000
14000.00	851200.0000	0.0000
14100.00	851200.0000	0.0000
14200.00	851200.0000	0.0000
14300.00	851200.0000	0.0000
14400.00	851200.0000	0.0000
14500.00	851200.0000	0.0000
14600.00	851200.0000	0.0000
14700.00	851200.0000	0.0000
14800.00	851200.0000	0.0000
14900.00	851200.0000	0.0000
